Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
452,BLENDERBOT,,I 'm not sure but I do know that it is a type of alcoholic beverage.,T00:00:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever be child of a agent? .  I 'm not sure ,,,,,,,,,
453,Leolani,I 'm not sure but I do know that it is a type of alcoholic beverage.,,'s still around today.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever be child of a agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.,,,,,,,,,
454,BLENDERBOT,,Do you have any pets?,s still around today.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever be child of a agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage. ,,,,,,,,,
455,Leolani,Do you have any pets?,That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . , Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever be child of a agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.  Do you have any pets?,,,,,,,,,
456,BLENDERBOT,That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend.,00:00:00 .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever be child of a agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,,,,,,,,,
457,Leolani,I have a dog and he 's my best friend.,I did not know that! I am excited to get to know about you! . ,est friend. Let me ask you something. Has blenderbot ever be child of a agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,,,,,,,,,
458,BLENDERBOT,I did not know that! I am excited to get to know about you! . ,Me too !,ild of a agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! . ,,,,,,,,,
459,Leolani,Me too !,,agent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! .  Me too !,,,,,,,,,
460,BLENDERBOT,,I ca n't wait to see what I can do with my life after I graduate.,gent? .  I 'm not sure  I 'm not sure but I do know that it is a type of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! .  Me too ! ,,,,,,,,,
461,Leolani,I ca n't wait to see what I can do with my life after I graduate.,,ype of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! .  Me too !  I ca n't wait to see what I can do with my life after I graduate.,,,,,,,,,
462,BLENDERBOT,,Do you have any pets?,pe of alcoholic beverage.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! .  Me too !  I ca n't wait to see what I can do with my life after I graduate. ,,,,,,,,,
463,Leolani,Do you have any pets?,I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ,ge.  Do you have any pets? That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! .  Me too !  I ca n't wait to see what I can do with my life after I graduate.  Do you have any pets?,,,,,,,,,
464,BLENDERBOT,I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend.,2 05 03T00:00:00 .  I have a dog and he 's my best friend. I did not know that! I am excited to get to know about you! .  Me too !  I ca n't wait to see what I can do with my life after I graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 . ,,,,,,,,,
465,Leolani,I have a dog and he 's my best friend.,If you don't mind me asking. What types of Instance like dog do Instance usually have . , 's my best friend. I did not know that! I am excited to get to know about you! .  Me too !  I ca n't wait to see what I can do with my life after I graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,,,,,,,,,
466,BLENDERBOT,If you don't mind me asking. What types of Instance like dog do Instance usually have . ,Dog training and obedience training., !  I ca n't wait to see what I can do with my life after I graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have . ,,,,,,,,,
467,Leolani,Dog training and obedience training.,,o with my life after I graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.,,,,,,,,,
468,BLENDERBOT,,It 's a lot of work, with my life after I graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training. ,,,,,,,,,
469,Leolani,It 's a lot of work,,I graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work,,,,,,,,,
470,BLENDERBOT,,It 's a lot of work but I think it 's worth it., graduate.  Do you have any pets? I have heard this before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work ,,,,,,,,,
471,Leolani,It 's a lot of work but I think it 's worth it.,,his before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work  It 's a lot of work but I think it 's worth it.,,,,,,,,,
472,BLENDERBOT,,Do you have any pets?,is before. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work  It 's a lot of work but I think it 's worth it. ,,,,,,,,,
473,Leolani,Do you have any pets?,This is news to me. I had never heard about pet before! . ,told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work  It 's a lot of work but I think it 's worth it.  Do you have any pets?,,,,,,,,,
474,BLENDERBOT,This is news to me. I had never heard about pet before! . ,I have a dog and he 's my best friend., he 's my best friend. If you don't mind me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work  It 's a lot of work but I think it 's worth it.  Do you have any pets? This is news to me. I had never heard about pet before! . ,,,,,,,,,
475,Leolani,I have a dog and he 's my best friend.,Interesting! I had never heard about dog before! . ,d me asking. What types of Instance like dog do Instance usually have .  Dog training and obedience training.  It 's a lot of work  It 's a lot of work but I think it 's worth it.  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend.,,,,,,,,,
476,BLENDERBOT,Interesting! I had never heard about dog before! . ,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors,ance usually have .  Dog training and obedience training.  It 's a lot of work  It 's a lot of work but I think it 's worth it.  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. Interesting! I had never heard about dog before! . ,,,,,,,,,
477,Leolani,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors,,'s worth it.  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. Interesting! I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors,,,,,,,,,
478,BLENDERBOT,,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities,s worth it.  Do you have any pets? This is news to me. I had never heard about pet before! .  I have a dog and he 's my best friend. Interesting! I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors ,,,,,,,,,
479,Leolani,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities,,eresting! I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities,,,,,,,,,
480,BLENDERBOT,,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.,resting! I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities ,,,,,,,,,
481,Leolani,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.,,s  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.,,,,,,,,,
482,Leolani,,"Tell me anything, I love learning things",  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes. ,,,,,,,,,
483,BLENDERBOT,"Tell me anything, I love learning things",Well,"ticated and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things",,,,,,,,,
484,Leolani,Well,Let's chat!,"ed and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well",,,,,,,,,
485,BLENDERBOT,Let's chat!,What do you like to do in your free time?,"been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat!",,,,,,,,,
486,Leolani,What do you like to do in your free time?,But at what cost? . ,"arious behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat! What do you like to do in your free time?",,,,,,,,,
487,BLENDERBOT,But at what cost? . ,I like to play video games and watch movies.,"ory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat! What do you like to do in your free time? But at what cost? . ",,,,,,,,,
488,Leolani,I like to play video games and watch movies.,May I ask you why? . ," to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat! What do you like to do in your free time? But at what cost? .  I like to play video games and watch movies.",,,,,,,,,
489,BLENDERBOT,May I ask you why? . ,I do n't know,"d have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat! What do you like to do in your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? . ",,,,,,,,,
490,Leolani,I do n't know,"So let it be written, ... so let it be done . ","lectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat! What do you like to do in your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? .  I do n't know",,,,,,,,,
491,BLENDERBOT,"So let it be written, ... so let it be done . ",I do n't know I guess I just feel like I 'm not good enough for them.,"iors sensory capabilities and physical attributes.  Tell me anything, I love learning things Well Let's chat! What do you like to do in your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? .  I do n't know So let it be written, ... so let it be done . ",,,,,,,,,
492,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,and then the wolves came . ,"I love learning things Well Let's chat! What do you like to do in your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? .  I do n't know So let it be written, ... so let it be done .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
493,BLENDERBOT,and then the wolves came . ,I was so scared.,"Let's chat! What do you like to do in your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? .  I do n't know So let it be written, ... so let it be done .  I do n't know I guess I just feel like I 'm not good enough for them. and then the wolves came . ",,,,,,,,,
494,Leolani,I was so scared.,"And thus, I die . ","do you like to do in your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? .  I do n't know So let it be written, ... so let it be done .  I do n't know I guess I just feel like I 'm not good enough for them. and then the wolves came .  I was so scared.",,,,,,,,,
495,BLENDERBOT,"And thus, I die . ",I thought I was going to have a heart attack.,"n your free time? But at what cost? .  I like to play video games and watch movies. May I ask you why? .  I do n't know So let it be written, ... so let it be done .  I do n't know I guess I just feel like I 'm not good enough for them. and then the wolves came .  I was so scared. And thus, I die . ",,,,,,,,,
496,Leolani,I thought I was going to have a heart attack.,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ","to play video games and watch movies. May I ask you why? .  I do n't know So let it be written, ... so let it be done .  I do n't know I guess I just feel like I 'm not good enough for them. and then the wolves came .  I was so scared. And thus, I die .  I thought I was going to have a heart attack.",,,,,,,,,
497,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",That 's a good one !,"el like I 'm not good enough for them. and then the wolves came .  I was so scared. And thus, I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
498,Leolani,That 's a good one !,Do you have any gossip?," enough for them. and then the wolves came .  I was so scared. And thus, I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one !",,,,,,,,,
499,BLENDERBOT,Do you have any gossip?,I do,"en the wolves came .  I was so scared. And thus, I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip?",,,,,,,,,
500,Leolani,I do,,"e wolves came .  I was so scared. And thus, I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do",,,,,,,,,
501,BLENDERBOT,,I do but I try not to let it get to me.," wolves came .  I was so scared. And thus, I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do ",,,,,,,,,
502,Leolani,I do but I try not to let it get to me.,,"s, I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.",,,,,,,,,
503,BLENDERBOT,,I know it 's not right,", I die .  I thought I was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me. ",,,,,,,,,
504,Leolani,I know it 's not right,,"was going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right",,,,,,,,,
505,BLENDERBOT,,but I ca n't help it.,"as going to have a heart attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right ",,,,,,,,,
506,Leolani,but I ca n't help it.,,"rt attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.",,,,,,,,,
507,BLENDERBOT,,Do you have any pets?,"t attack. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it. ",,,,,,,,,
508,Leolani,Do you have any pets?,Let me ask you something. What types can leolani have . ,"w, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets?",,,,,,,,,
509,BLENDERBOT,Let me ask you something. What types can leolani have . ,I have a dog and he 's my best friend.,ear before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets? Let me ask you something. What types can leolani have . ,,,,,,,,,
510,Leolani,I have a dog and he 's my best friend.,If you don't mind me asking. Has blenderbot dislike interest? . ,y god! how long is the aisle going to be .  That 's a good one ! Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets? Let me ask you something. What types can leolani have .  I have a dog and he 's my best friend.,,,,,,,,,
511,BLENDERBOT,If you don't mind me asking. Has blenderbot dislike interest? . ,I do n't think so.,Do you have any gossip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets? Let me ask you something. What types can leolani have .  I have a dog and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? . ,,,,,,,,,
512,Leolani,I do n't think so.,,sip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets? Let me ask you something. What types can leolani have .  I have a dog and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so.,,,,,,,,,
513,BLENDERBOT,,I just do n't like the way it smells.,ip? I do  I do but I try not to let it get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets? Let me ask you something. What types can leolani have .  I have a dog and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so. ,,,,,,,,,
514,Leolani,I just do n't like the way it smells.,I did not know that! I did not know anything that blenderbot like . , get to me.  I know it 's not right  but I ca n't help it.  Do you have any pets? Let me ask you something. What types can leolani have .  I have a dog and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so.  I just do n't like the way it smells.,,,,,,,,,
515,BLENDERBOT,I did not know that! I did not know anything that blenderbot like . ,I did n't either until I found out it was made by a guy named Charles Alderton.,ve any pets? Let me ask you something. What types can leolani have .  I have a dog and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so.  I just do n't like the way it smells. I did not know that! I did not know anything that blenderbot like . ,,,,,,,,,
516,Leolani,I did n't either until I found out it was made by a guy named Charles Alderton.,,og and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so.  I just do n't like the way it smells. I did not know that! I did not know anything that blenderbot like .  I did n't either until I found out it was made by a guy named Charles Alderton.,,,,,,,,,
517,BLENDERBOT,,Do you have any pets?,g and he 's my best friend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so.  I just do n't like the way it smells. I did not know that! I did not know anything that blenderbot like .  I did n't either until I found out it was made by a guy named Charles Alderton. ,,,,,,,,,
518,Leolani,Do you have any pets?,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,iend. If you don't mind me asking. Has blenderbot dislike interest? .  I do n't think so.  I just do n't like the way it smells. I did not know that! I did not know anything that blenderbot like .  I did n't either until I found out it was made by a guy named Charles Alderton.  Do you have any pets?,,,,,,,,,
519,BLENDERBOT,This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend.,n't think so.  I just do n't like the way it smells. I did not know that! I did not know anything that blenderbot like .  I did n't either until I found out it was made by a guy named Charles Alderton.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 . ,,,,,,,,,
520,Leolani,I have a dog and he 's my best friend.,I am glad to have learned something new. I had never heard about dog before! . ,ay it smells. I did not know that! I did not know anything that blenderbot like .  I did n't either until I found out it was made by a guy named Charles Alderton.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,,,,,,,,,
521,BLENDERBOT,I am glad to have learned something new. I had never heard about dog before! . ,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors,.  I did n't either until I found out it was made by a guy named Charles Alderton.  Do you have any pets? This sounds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am glad to have learned something new. I had never heard about dog before! . ,,,,,,,,,
522,Leolani,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors,,ds familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am glad to have learned something new. I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors,,,,,,,,,
523,BLENDERBOT,,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities,s familiar. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. I am glad to have learned something new. I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors ,,,,,,,,,
524,Leolani,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities,,hing new. I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities,,,,,,,,,
525,BLENDERBOT,,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.,ing new. I had never heard about dog before! .  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities ,,,,,,,,,
526,Leolani,Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.,,s  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.,,,,,,,,,
527,BLENDERBOT,,Do you have any pets?,  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes. ,,,,,,,,,
528,Leolani,Do you have any pets?,I know. blenderbot told me about it in 2022 05 03T00:00:00 . ,species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Do you have any pets?,,,,,,,,,
529,BLENDERBOT,I know. blenderbot told me about it in 2022 05 03T00:00:00 . ,I have a dog and he 's my best friend., millennia for various behaviors sensory capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 . ,,,,,,,,,
530,Leolani,I have a dog and he 's my best friend.,That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,y capabilities  Dogs were the first species to be domesticated and have been selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend.,,,,,,,,,
531,BLENDERBOT,That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,Oh wow,een selectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 . ,,,,,,,,,
532,Leolani,Oh wow,,ectively bred over millennia for various behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow,,,,,,,,,
533,BLENDERBOT,,Oh wow that 's a long time ago.,ctively bred over millennia for various behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow ,,,,,,,,,
534,Leolani,Oh wow that 's a long time ago.,,various behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago.,,,,,,,,,
535,BLENDERBOT,,I wonder if it 's still around today.,arious behaviors sensory capabilities and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago. ,,,,,,,,,
536,Leolani,I wonder if it 's still around today.,,and physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today.,,,,,,,,,
537,BLENDERBOT,,Do you have any pets?,nd physical attributes.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today. ,,,,,,,,,
538,Leolani,Do you have any pets?,Let me ask you something. What types of Instance like pet do Instance usually have . ,.  Do you have any pets? I know. blenderbot told me about it in 2022 05 03T00:00:00 .  I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today.  Do you have any pets?,,,,,,,,,
539,BLENDERBOT,Let me ask you something. What types of Instance like pet do Instance usually have . ,I have a dog and he 's my best friend., I have a dog and he 's my best friend. That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have . ,,,,,,,,,
540,Leolani,I have a dog and he 's my best friend.,Let me ask you something. Has blenderbot ever like by a agent? . , That rings a bell. blenderbot told me about it in 2022 05 03T00:00:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend.,,,,,,,,,
541,BLENDERBOT,Let me ask you something. Has blenderbot ever like by a agent? . ,I 'm not sure,0:00 .  Oh wow  Oh wow that 's a long time ago.  I wonder if it 's still around today.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever like by a agent? . ,,,,,,,,,
542,Leolani,I 'm not sure,,  Oh wow that 's a long time ago.  I wonder if it 's still around today.  Do you have any pets? Let me ask you something. What types of Instance like pet do Instance usually have .  I have a dog and he 's my best friend. Let me ask you something. Has blenderbot ever like by a agent? .  I 'm not sure,,,,,,,,,
